title,author,publisher,price,rating,ratings_count
A Game of Thrones,George R.R. Martin,HarperCollins Publishers,6.01,5.0,7
Things in The Body,Andrey Ermoshin,,6.05,4.3,81
The Hobbit,John Ronald Reuel Tolkien,,5.79,4.33,30
Ulysses,James Augustine Aloysius Joyce,,5.91,4.3,2
If She Fled,Blake Pierce,,5.91,4.8,2
"For You, Forever",Sophie Love,,5.91,5.0,1
Jeeves in the Offing (Дживс в отпуске),Пэлем Вудхауз,,3.46,5.0,1
Summary: Emotional Intelligence. Why it can matter more than IQ. Daniel Goleman,Smart Reading,,3.44,5.0,6
The idiot / Идиот,Fyodor Dostoyevsky,,8.37,4.0,1
"Marxism. Anarchism. Communism: The Communist Manifesto, The Conquest of Bread, State and Revolution","Vladimir Lenin, Карл Генрих Маркс, Petr Kropotkin",,3.07,5.0,2
Стоик. Книга для чтения на английском языке,Theodore Dreiser,,6.34,3.56,36
The Trophy Husband,Lynne Graham,,5.79,4.3,1
Awful Auntie,David  Walliams,,5.79,3.3,1
Dandelion Wine / Вино из одуванчиков. Книга для чтения на английском языке,Ray Douglas Bradbury,,3.23,4.0,26
"Albert Einstein, Alexander Fleming, Sigmund Freud, Mahatma Gandhi - A Short Biography Of Great People In History, Vol. 7 (Unabridged)",Jorge Alfonso Sierra Quintero,Editorial Direct Libros,5.68,3.5,2
Mystery at the Manor - Cherringham - A Cosy Crime Series: Mystery Shorts 2 (Unabridged),"Matthew  Costello, Neil Richards",Lübbe Audio,5.79,3.7,1
Fool’s Errand,Robin Hobb,,5.79,5.0,1
Wife For A Week,Kelly Hunter,,5.79,3.2,3
Внутри убийцы / A Killer's Mind,Mike Omer,,5.55,5.0,7
Маленькие женщины / Little women,Louisa May Alcott,,5.55,5.0,1
Nevernight,Jay Kristoff,,5.79,3.5,2
Приключения Шерлока Холмса / The Adventures of Sherlock Holmes,Arthur Conan Doyle,,3.07,5.0,2
His Little Girl,Liz Fielding,,5.79,3.05,2
The Little Prince,Antoine de Saint-Exupéry,,1.84,4.21,14
How To Become A Digital Marketing Hero,Rufus Lidman,Clink Street Publishing,5.55,3.46,6
Coffin in Fashion,Gwendoline  Butler,,8.71,4.39,1
Little Prince. A1 / Маленький принц,Antoine de Saint-Exupéry,,3.44,5.0,10
The Last Kids on Earth,Max Brallier,HarperCollins Publishers,5.25,5.0,1
Горничная. The Housemaid. Аудиокнига,Freida McFadden,,3.07,2.4,5
The Bloodstained Pavement,Agatha Christie,MB Cooltura,4.63,3.4,14
Suspended Sentences,Mark McWatt,Peepal Tree Press,5.21,2.6,2
